run_date,event_time,table_name,user_id,advertiser_id,campaign_id,site_id,placement_id,ad_id,creative_id,keyword_id,lc_attr,zo_attr,zo_attr_1,revenue
2017-09-19,1505755911883026,c,AMsySZYuvrQMGM5xGqLbw1N07J4a,1881096,2970698,629943,27850590,204724680,,10406240718,2.0,2.0,1.0727095189812414,374.0
2017-09-19,1505753985331345,c,AMsySZbLSbBgaj-8M6_U9VcCkQw0,1881096,2970698,629943,27850590,204724680,,100008013,1.0,1.0,0.16432664070054404,237.0
2017-09-19,1505752787370362,c,AMsySZYSrN1bEbQFIYRnAd3N4I6V,1881096,2970698,629943,27850590,204724680,,10411969792,1.0,1.0,0.5151575807009664,2548.0
2017-09-19,1505726570496072,c,AMsySZaTSfQ5sG8MPTlDJ6BnG2fE,1881096,2970698,629943,27850590,204724680,,100008013,1.0,1.0,0.5535092655144002,923.0
2017-09-19,1505719491169114,c,AMsySZZY11zXxsaDI9LZqS13dqnV,1881096,2970698,629943,27850590,204724680,,10411970299,1.0,1.0,0.2831428767278388,3141.0
2017-09-19,1505734680510070,c,AMsySZazFUecurfliRgR6D6baLUJ,1881096,2970698,629943,27850590,204724680,,18066715008,1.0,1.0,0.6078040805798277,2815.0
2017-09-19,1505757709980849,c,AMsySZbdk9bacV5TesnyXRM_upv6,1881096,2970698,629943,27850590,204724680,,10406241888,1.0,1.0,0.11047141074554245,280.0
2017-09-19,1505729800140495,c,AMsySZYAAERMtQNau6Buv1qQsf8i,1881096,2970698,629943,27850590,204724680,,10411969552,1.0,1.0,0.8696293031610327,3946.0
2017-09-19,1505763130174355,c,AMsySZZpC2volIk9bMLCqtkIumqt,1881096,2970698,634020,47407691,223614294,,21650937921,1.0,1.0,0.24554703208393203,445.0
2017-09-19,1505752252682243,c,AMsySZYt0W9mvRge4FPfvWSCpiUQ,1268443,3215394,687200,119545047,292324978,,,1.0,1.0,0.3388973291187598,396.0
2017-09-19,1505735934616761,c,AMsySZZsMGlJK8-orHux8aolhqSr,1268443,3215394,687200,133613256,292324978,,,1.0,1.0,0.17130751760784724,947.0
2017-09-19,1505755234348785,c,AMsySZapYONHw0v-G1SGGOG-Pqia,1881096,2970698,629943,27850590,204724680,,10411969792,1.0,1.0,0.9651647589502774,2606.0
2017-09-19,1505769588947725,c,AMsySZY-tTqkRzvTrS-vcdLZF8zo,1881096,2970698,629943,27850590,204724680,,10406240718,1.0,1.0,0.42155989822720075,3663.0
2017-09-19,1505722842219894,c,AMsySZYddU0CmVY8gwmFheUewacV,1881096,2970698,629943,27850590,204724680,,10411969795,1.0,1.0,0.7094249522789584,223.0
2017-09-19,1505756928082448,c,AMsySZYAroLDHhc9rds6YZYu9ihf,1268437,6173401,629943,75584737,251023119,,14625579957,1.0,1.0,1.0,615.0
2017-09-19,1505765012061132,c,AMsySZYqvuGQ6VX3KOXfEanxmoHo,1881096,2970698,629943,27850590,204724680,,10416144302,1.0,1.0,0.03263859333939978,361.0
2017-09-19,1505722032436860,c,AMsySZa4UFnZ7UU9iNkMd4lbjnvM,1881096,2970698,629943,27850590,204724680,,1353117066,1.0,1.0,0.692517330578133,243.0
2017-09-19,1505763891337583,c,AMsySZbdR7S0EB38zG8B2Ckk5Yud,1881096,2970698,629943,27850590,204724680,,8901720519,1.0,1.0,0.6663727182737296,182.0
2017-09-19,1505764053257013,c,AMsySZZvw0LX3TqsAHYH6dUD6Smb,1268443,3215394,687200,119545047,292324978,,,1.0,1.0,0.16347332145742466,305.0
